episode	seed	stage_score_pct	stage_success	goal_success	result_class
0	100	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
1	101	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
2	102	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
3	103	66.7	0	0.6667	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
4	104	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
5	105	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
6	106	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
7	107	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
8	108	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
9	109	66.7	0	0.6667	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
10	110	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
11	111	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
12	112	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
13	113	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
14	114	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
15	115	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
16	116	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
17	117	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
18	118	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
19	119	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
20	120	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
21	121	0.0	0	0.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
22	122	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
23	123	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
24	124	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
25	125	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
26	126	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
27	127	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
28	128	100.0	1	1.0000	VLM-prompted rotation-return controller-assisted; no oracle prompt injection
